track_name,streams,artist_names,uri,source,peak_rank,rank,previous_rank,weeks_on_chart
"""Slut!"" (Taylor's Version) (From The Vault)",189037,Taylor Swift,spotify:track:71BqAINEnezjQfxE4VuJfq,Taylor Swift,106,106,-1,1
00:00 (Zero O’Clock),114474,BTS,spotify:track:6fqaMyg066xlukvUJWdM2T,BIGHIT MUSIC,21,153,-1,8
17,20021342,Dept,spotify:track:3LejSFG20mSl4IzORHa7Ya,Smallroom,3,23,-1,78
2 faces,305729,Mark Tuan,spotify:track:3I7s9xEyLFWbEDtsv7vYt3,DREAMERS N ACHIEVERS,58,58,-1,1
200,483086,MARK,spotify:track:7rx73Y7UB1gy6bOLqJvsRe,SM Entertainment,104,104,-1,2
"24/7, 365",939006,elijah woods,spotify:track:05QUYSOApWLr8oBbpONl7p,elijah woods,176,176,-1,6
28 (feat. NiiHWA),596218,"Agust D, NiiHWA",spotify:track:3pGNUEIlaUlCU8mXxKInzw,BIGHIT MUSIC,64,64,-1,3
2AM (คุณเคยรักใครมากๆมั้ย?),2765081,"Saran, BlackHeart, Rifle",spotify:track:50D7ptFXhgR9GZ9g7G20SF,SARAN,47,47,-1,8
3D (feat. Jack Harlow),75271346,"Jung Kook, Jack Harlow",spotify:track:01qFKNWq73UfEslI0GvumE,BIGHIT MUSIC,2,2,-1,67
3am,273678,ROSÉ,spotify:track:3y4q6bBdbXsTIaPiwiiUfy,Atlantic Records,134,134,-1,1
9 นาฬิกา,17540148,SPF,spotify:track:1RIcNj56JKuH0WB9AyNARB,Mono Music,42,42,-1,51
= (Equal Sign),104103,j-hope,spotify:track:70XnKsO3UnIT4FnEwChQXx,BIGHIT MUSIC,43,186,-1,3
ABCD,189485,NAYEON,spotify:track:53rB05bAi7JdNbUfgz72I1,Republic Records – NAYEON (TWICE),200,200,-1,1
ALICE,5390267,QLER,spotify:track:4nimbIVI2u2XUD70c1dOBu,What The Duck,70,70,-1,27
AMYGDALA,422231,Agust D,spotify:track:5fj32MKLHkut2Vod1UodcU,BIGHIT MUSIC,64,64,-1,2
ANTIFRAGILE,2870141,LE SSERAFIM,spotify:track:4fsQ0K37TOXa3hEQfjEic1,SOURCE MUSIC,52,53,53,29
APT.,16738149,"ROSÉ, Bruno Mars",spotify:track:4wJ5Qq0jBN4ajy7ouZIV1c,Atlantic Records,5,5,-1,12
ASAP,1096066,NewJeans,spotify:track:5fpyAakgFOm4YTXkgfPzvV,ADOR,24,24,-1,4
About You,938691,The 1975,spotify:track:1fDFHXcykq4iw8Gg7s5hG9,Dirty Hit,136,136,-1,18
Abyss,2254054,Jin,spotify:track:40BomFCBuJok3OjxM9oG7e,BIGHIT MUSIC,63,63,-1,9
After LIKE,3066519,IVE,spotify:track:2gYj9lubBorOPIVWsTXugG,Starship Entertainment,6,59,59,40
After Last Night (with Thundercat & Bootsy Collins),309737,"Bruno Mars, Anderson .Paak, Silk Sonic, Thundercat, Bootsy Collins",spotify:track:3jiKUMXqwEodB7gVv1RMZU,Aftermath Entertainment/Atlantic,110,170,157,10
Agora Hills,6342760,Doja Cat,spotify:track:5PyDJG7SQRgWXefgexqIge,Kemosabe Records/RCA Records,46,46,-1,25
All About That Day,1999730,Nene鄭乃馨,spotify:track:2nR5g9ug01C4QFSAox8mYj,Sony Music Entertainment,51,51,-1,10
All Eyes On Me,7048628,JISOO,spotify:track:2YXswOX5aKv6OHRKUcAMLQ,YG Entertainment,6,6,-1,29
All I Want for Christmas Is You,979989,Mariah Carey,spotify:track:0bYg9bo50gSsH3LtXe2SQn,Columbia,30,63,-1,31
All Of The Girls You Loved Before,3410851,Taylor Swift,spotify:track:4P9Q0GojKVXpRTJCaL3kyy,Taylor Swift,11,11,-1,15
Alone,469357,Jimin,spotify:track:5Hfnps0jaWFpYg55WOPexG,BIGHIT MUSIC,63,63,-1,2
Angel Baby,2758858,Troye Sivan,spotify:track:2m6Ko3CY1qXNNja8AlugNc,EMI Recorded Music Australia Pty Ltd,2,138,-1,90
"Angel Pt. 1 (feat. Jimin of BTS, JVKE & Muni Long)",9531161,"Kodak Black, NLE Choppa, Jimin, JVKE, Muni Long, Fast & Furious: The Fast Saga",spotify:track:1vvcEHQdaUTvWt0EIUYcFK,APG Inc – FF10,1,1,-1,10
"Angel Pt. 2 (feat. Jimin of BTS, Charlie Puth and Muni Long)",2310551,"JVKE, Jimin, Charlie Puth, Muni Long, Fast & Furious: The Fast Saga",spotify:track:2yjeXq5ahx6UUg2rHaUe6X,APG Inc – FF10,4,4,-1,5
Anti-Hero,3712255,Taylor Swift,spotify:track:0V3wPSX9ygBnCm8psDIegu,Taylor Swift,6,51,-1,33
April,5462789,Only Monday,spotify:track:1HcNxQxyvT4Jg2c1A9FxjS,GMM Music Public Company Limited,45,45,-1,28
Are You out yet ?,5125841,Anatomy Rabbit,spotify:track:1fHcPiRTEUobMWUVQa0upn,Anatomy Rabbit,75,121,-1,104
Armageddon,8310352,aespa,spotify:track:6i8MbzVn4nzyjUcSoVcz7B,SM Entertainment,6,6,-1,20
Arson,147344,j-hope,spotify:track:2QWEMqQMJR1KDf6hDjJOs6,BIGHIT MUSIC,2,112,-1,9
As It Was,5922312,Harry Styles,spotify:track:4Dvkj6JhhA12EX05fT7y2e,Columbia,10,67,-1,74
At My Worst,95800,Pink Sweat$,spotify:track:2MJz8BxxMsERULatmBikDH,Atlantic Records,7,199,-1,116
Attention,4245469,NewJeans,spotify:track:2pIUpMhHL6L9Z5lnKxJJr9,ADOR,23,41,41,42
Ay-Yo,1086909,NCT 127,spotify:track:2KwOuFfwQyT9mZqjvchd81,SM Entertainment,58,58,-1,6
B.O.M.B,1112236,TREASURE,spotify:track:3GQBY6EdENHSRtBRiCchVW,YG Entertainment,50,50,-1,5
B.O.M.B (KABOOM ver.),589672,TREASURE,spotify:track:4tU6jMMjcgQoV5dQTlW3k8,YG Entertainment,12,12,-1,1
BAND4BAND (feat. Lil Baby),401602,"Central Cee, Lil Baby",spotify:track:7iabz12vAuVQYyekFIWJxD,Columbia,194,194,-1,2
BATTER UP,3637989,BABYMONSTER,spotify:track:3VBj0lzjmhTzVFPEDOjNCG,YG Entertainment,39,39,-1,15
BF,7074926,"PUN, URBOYTJ",spotify:track:36zlZYQZQ6QpXwSxnBRAa0,Universal Music (Thailand) Ltd.,55,55,-1,23
BIBI Vengeance,307170,BIBI,spotify:track:0ra3bPUOj2YnY4FJHXtgHZ,Feel Ghood Music/88risingMusic,181,181,-1,3
BIRDS OF A FEATHER,26998998,Billie Eilish,spotify:track:6dOtVTDdiauQNBQEDOtlAB,Darkroom/Interscope Records,7,7,-1,33
BMF,310426,SZA,spotify:track:3U3hFkMr0Q90pD24EkE3Pr,Top Dawg Entertainment/RCA Records,93,93,-1,1
BONA BONA,6904308,TREASURE,spotify:track:32W1dyO4NTHAthKprlz1vd,YG Entertainment,2,2,-1,11
BOX,160138,NCT DREAM,spotify:track:4I95uQMtIwg7779WEDy8Mc,SM Entertainment,190,190,-1,1
Back To December (Taylor's Version),141379,Taylor Swift,spotify:track:79uDOz0zuuWS7HWxzMmTa2,Taylor Swift,184,184,-1,1
Back for More (with Anitta),654224,"TOMORROW X TOGETHER, Anitta",spotify:track:6uTPA1xlcsk6dbchB2dhzl,Republic Records - TXT,12,12,-1,1
Bad Girls Like You,2426546,Tobii,spotify:track:23EDUpNbiKcDwhUf9kBRo8,Universal Music (Thailand) Ltd.,127,127,-1,11
Bad Habit,830914,Steve Lacy,spotify:track:4k6Uh1HXdhtusDW5y8Gbvy,L-M Records/RCA Records,143,143,143,20
Baddie,694493,IVE,spotify:track:7aqsfFKqJFNa2umM4tTLdA,Starship Entertainment,94,94,-1,4
Ball Like That,207825,BamBam,spotify:track:3jTKYmZOMfHW3RPgb5cPCU,Abyss Company,183,183,-1,1
Barbie World (with Aqua) [From Barbie The Album],672396,"Nicki Minaj, Ice Spice, Aqua",spotify:track:741UUVE2kuITl0c6zuqqbO,Atlantic Records,125,125,-1,4
Be Mine,4962401,Jimin,spotify:track:3LWVXp636uLT356Rj08Jaz,BIGHIT MUSIC,37,37,-1,14
Be There For Me,729378,NCT 127,spotify:track:1Lkd4pjGFQilS5zPoMnLL7,SM Entertainment,21,21,-1,2
